Distance,Roi,Data_length,Mean_ICC
sqeuclidean,700,20min,0.705981716105237
minkowski,700,20min,0.7110095763413421
euclidean,700,20min,0.7109811726498304
partial_correlation,700,20min,0.4633287890725092
tangent,700,20min,0.36166269988906
covariance,700,25min,0.7324026305382032
correlation,700,25min,0.7584174299364234
cosine,700,25min,0.7584243234770852
sqeuclidean,700,25min,0.7558294221449323
minkowski,700,25min,0.7606147359788493
euclidean,700,25min,0.7606072888746819
partial_correlation,700,25min,0.46434437952257407
tangent,700,25min,0.37551606394571596
covariance,700,30min,0.7824692018735363
correlation,700,30min,0.7824438427948812
cosine,700,30min,0.7824486519855868
sqeuclidean,700,30min,0.7831724957019353
minkowski,700,30min,0.7864490628573143
euclidean,700,30min,0.786453681679445
partial_correlation,700,30min,0.4590272034210158
tangent,700,30min,0.37906391824181024
covariance,700,35min,0.7977814412704279
correlation,700,35min,0.8113938949205691
cosine,700,35min,0.8114510570522565
sqeuclidean,700,35min,0.8117068044826032
minkowski,700,35min,0.8148921521432142
euclidean,700,35min,0.8148928992438562
partial_correlation,700,35min,0.4544328990573067
tangent,700,35min,0.38549649456913565
covariance,700,40min,0.826211744499301
correlation,700,40min,0.8263354511731353
cosine,700,40min,0.8263100673479559
sqeuclidean,700,40min,0.8269175115157613
minkowski,700,40min,0.8299162513346359
euclidean,700,40min,0.8299190624792352
partial_correlation,700,40min,0.4485392395540826
tangent,700,40min,0.39344027738873394
covariance,700,45min,0.8384948506663243
correlation,700,45min,0.8474706303152312
cosine,700,45min,0.8474753996210403
sqeuclidean,700,45min,0.8456276258715868
minkowski,700,45min,0.8484528939852298
euclidean,700,45min,0.8484490851876827
partial_correlation,700,45min,0.44139722263682496
tangent,700,45min,0.4027197408737303
covariance,700,50min,0.8584420239031986
correlation,700,50min,0.8585492390307874
cosine,700,50min,0.8585492327878184
sqeuclidean,700,50min,0.8587847635915746
minkowski,700,50min,0.861376847275464
euclidean,700,50min,0.8613690171624276
partial_correlation,700,50min,0.4382149720154564
tangent,700,50min,0.4059728289664151
covariance,800,5min,0.4006175857117262
correlation,800,5min,0.4899728680415115
cosine,800,5min,0.4901460910969315
sqeuclidean,800,5min,0.487135644947078
minkowski,800,5min,0.4979489990577537
euclidean,800,5min,0.497930876577639
partial_correlation,800,5min,0.39176470518057976
tangent,800,5min,0.3251826305658503
covariance,800,10min,0.573515279328739
correlation,800,10min,0.5731004406599431
cosine,800,10min,0.573100362962904
sqeuclidean,800,10min,0.5733968897402667
minkowski,800,10min,0.5792732728188897
euclidean,800,10min,0.5792342827286668
partial_correlation,800,10min,0.43898287706644523
tangent,800,10min,0.3388812854840923
covariance,800,15min,0.6158453357984767
correlation,800,15min,0.6631922723848928
cosine,800,15min,0.6632283747708602
sqeuclidean,800,15min,0.6686876850842227
minkowski,800,15min,0.6752133984758814
euclidean,800,15min,0.6752308660133607
partial_correlation,800,15min,0.46161848337922134
tangent,800,15min,0.34421693975732937
covariance,800,20min,0.7063368885656764
correlation,800,20min,0.7061738344300887
cosine,800,20min,0.7061478576836161
sqeuclidean,800,20min,0.7066393138834224
minkowski,800,20min,0.7115850628637109
euclidean,800,20min,0.7116008606305438
partial_correlation,800,20min,0.4535094588289528
tangent,800,20min,0.3412140834830735
covariance,800,25min,0.7330983880755247
correlation,800,25min,0.7595352277783863
cosine,800,25min,0.759543850197708
sqeuclidean,800,25min,0.7569968177863501
minkowski,800,25min,0.7615583698285663
euclidean,800,25min,0.7615562856008686
partial_correlation,800,25min,0.4606284028499717
tangent,800,25min,0.3501050639471908
covariance,800,30min,0.7838707146843867
correlation,800,30min,0.7839845925934854
cosine,800,30min,0.783988404363593
sqeuclidean,800,30min,0.7846045870657558
minkowski,800,30min,0.7880044933825178
euclidean,800,30min,0.7879938866811723
partial_correlation,800,30min,0.4570478454926683
tangent,800,30min,0.3538565822318516
covariance,800,35min,0.7994601276866417
correlation,800,35min,0.8127851382321424
cosine,800,35min,0.8127943880277085
sqeuclidean,800,35min,0.8128132193309198
minkowski,800,35min,0.8160182504128488
euclidean,800,35min,0.8160128008811443
