Distance,Roi,Data_length,Mean_ICC
correlation,700,50min,0.7622916836377811
cosine,700,50min,0.7598102120271572
sqeuclidean,700,50min,0.762854440378492
minkowski,700,50min,0.7626634959499011
euclidean,700,50min,0.7626602125090522
partial_correlation,700,50min,0.21591817624568999
tangent,700,50min,0.36613690806555327
covariance,800,5min,0.34817592139094405
correlation,800,5min,0.36119171483046075
cosine,800,5min,0.3613220003250481
sqeuclidean,800,5min,0.3223202871657365
minkowski,800,5min,0.3278974048929684
euclidean,800,5min,0.3278944689592407
partial_correlation,800,5min,0.23175346346899398
tangent,800,5min,0.2891921433886088
covariance,800,10min,0.4365800419778006
correlation,800,10min,0.43666017149790487
cosine,800,10min,0.4364511074314664
sqeuclidean,800,10min,0.4371391793995759
minkowski,800,10min,0.43800552249256747
euclidean,800,10min,0.43800036948252746
partial_correlation,800,10min,0.2312892323000286
tangent,800,10min,0.30946706504745664
covariance,800,15min,0.518258238444118
correlation,800,15min,0.5252604593439529
cosine,800,15min,0.5246517538080624
sqeuclidean,800,15min,0.5063261362537781
minkowski,800,15min,0.5090330814135283
euclidean,800,15min,0.5090276815100043
partial_correlation,800,15min,0.2284265253682691
tangent,800,15min,0.3229838038953729
covariance,800,20min,0.5752859449742035
correlation,800,20min,0.5762778547340685
cosine,800,20min,0.5753134858414558
sqeuclidean,800,20min,0.5771042204028825
minkowski,800,20min,0.5775914700532977
euclidean,800,20min,0.5775926234667945
partial_correlation,800,20min,0.22396093629839503
tangent,800,20min,0.32846479291551595
covariance,800,25min,0.6319552020716233
correlation,800,25min,0.6362371064452499
cosine,800,25min,0.6350377583694274
sqeuclidean,800,25min,0.6229275523254504
minkowski,800,25min,0.6242540823498911
euclidean,800,25min,0.6242527748372846
partial_correlation,800,25min,0.2232995172100138
tangent,800,25min,0.3368648189662628
covariance,800,30min,0.6651372389809389
correlation,800,30min,0.6664701492243572
cosine,800,30min,0.665111927523591
sqeuclidean,800,30min,0.6674174847664267
minkowski,800,30min,0.6670758206397522
euclidean,800,30min,0.6670710860202846
partial_correlation,800,30min,0.220017118632721
tangent,800,30min,0.3415375978206779
covariance,800,35min,0.6984436924801073
correlation,800,35min,0.7018321701986227
cosine,800,35min,0.7001744573509378
sqeuclidean,800,35min,0.6953374428680116
minkowski,800,35min,0.695417517987082
euclidean,800,35min,0.6954243054581261
partial_correlation,800,35min,0.21687283993329295
tangent,800,35min,0.3444489225076494
covariance,800,40min,0.7194667257932242
correlation,800,40min,0.7210914434348646
cosine,800,40min,0.7194051273336004
sqeuclidean,800,40min,0.722091890500341
minkowski,800,40min,0.7219072873474497
euclidean,800,40min,0.7219054221681188
partial_correlation,800,40min,0.21492897519626483
tangent,800,40min,0.3482560678508296
covariance,800,45min,0.7452701957241425
correlation,800,45min,0.7477394618207225
cosine,800,45min,0.746182452808698
sqeuclidean,800,45min,0.740211461851418
minkowski,800,45min,0.7406465873545457
euclidean,800,45min,0.7406531264241829
partial_correlation,800,45min,0.21290540759896953
tangent,800,45min,0.35237364265518956
covariance,800,50min,0.7607473717884324
correlation,800,50min,0.7620468784962989
cosine,800,50min,0.760599903798081
sqeuclidean,800,50min,0.7627802158031903
minkowski,800,50min,0.7627761239716779
euclidean,800,50min,0.7627726871029163
partial_correlation,800,50min,0.21131088238334444
tangent,800,50min,0.35539650671088074
covariance,900,5min,0.3487825850188464
correlation,900,5min,0.36260100480936125
cosine,900,5min,0.36216021422799977
sqeuclidean,900,5min,0.3251411641997101
minkowski,900,5min,0.33081882587249994
euclidean,900,5min,0.33082057022736905
partial_correlation,900,5min,0.23296717387268864
tangent,900,5min,0.28660437979348435
covariance,900,10min,0.4373061112056918
correlation,900,10min,0.4384445346655227
cosine,900,10min,0.4375790474900256
sqeuclidean,900,10min,0.43895357175944155
minkowski,900,10min,0.4398929378800999
euclidean,900,10min,0.43989010537026535
partial_correlation,900,10min,0.22979973262017556
tangent,900,10min,0.30627448121572054
covariance,900,15min,0.5190797565628876
correlation,900,15min,0.5267635380194727
cosine,900,15min,0.5268647042537381
sqeuclidean,900,15min,0.5080048554203935
minkowski,900,15min,0.5106902693843763
euclidean,900,15min,0.5106966200115167
partial_correlation,900,15min,0.22903135885757336
tangent,900,15min,0.32125978631526764
covariance,900,20min,0.5756696199899437
correlation,900,20min,0.57741719126381
cosine,900,20min,0.575555238758827
sqeuclidean,900,20min,0.5783890535458732
minkowski,900,20min,0.5788207961629696
euclidean,900,20min,0.578818252100819
partial_correlation,900,20min,0.22449640013111166
tangent,900,20min,0.3252359880423292
covariance,900,25min,0.6320130671743475
correlation,900,25min,0.6368387844452564
cosine,900,25min,0.6349018851838849
sqeuclidean,900,25min,0.6234179957980935
minkowski,900,25min,0.6247156646624474
euclidean,900,25min,0.6247123294318842
partial_correlation,900,25min,0.22218865380446742
tangent,900,25min,0.3330510770532849
covariance,900,30min,0.6652457092288862
correlation,900,30min,0.6669265934313195
cosine,900,30min,0.6651128260392831
sqeuclidean,900,30min,0.6678624105430437
minkowski,900,30min,0.6674714795534841
euclidean,900,30min,0.6674722025975163
partial_correlation,900,30min,0.21825041339713025
tangent,900,30min,0.33672787744149785
covariance,900,35min,0.6987151365774976
correlation,900,35min,0.7022825886733736
cosine,900,35min,0.7002232535695118
sqeuclidean,900,35min,0.6958863350451657
minkowski,900,35min,0.6959359734727046
euclidean,900,35min,0.6959323754451529
partial_correlation,900,35min,0.2146535947596733
tangent,900,35min,0.3395355954731639
covariance,900,40min,0.7199115983615403
correlation,900,40min,0.7217186994173201
cosine,900,40min,0.7197533675925925
sqeuclidean,900,40min,0.7225103577338349
minkowski,900,40min,0.722243284007264
euclidean,900,40min,0.7222443947871926
partial_correlation,900,40min,0.21220853029913128
tangent,900,40min,0.3421581392562133
covariance,900,45min,0.7455411304436161
correlation,900,45min,0.7482355354091758
cosine,900,45min,0.7463756254695755
sqeuclidean,900,45min,0.7409191233043622
minkowski,900,45min,0.7413449097803726
euclidean,900,45min,0.741343339960106
partial_correlation,900,45min,0.2103155262413614
tangent,900,45min,0.3449320457218463
covariance,900,50min,0.761141701072155
correlation,900,50min,0.7626810936253142
cosine,900,50min,0.7609476962939649
sqeuclidean,900,50min,0.7633381556224613
minkowski,900,50min,0.7633933620229535
euclidean,900,50min,0.7633913956211466
partial_correlation,900,50min,0.20834219096176934
tangent,900,50min,0.3470268504473998
covariance,1000,5min,0.3499301057808403
correlation,1000,5min,0.36291268036754004
cosine,1000,5min,0.36285059459748514
sqeuclidean,1000,5min,0.3244776861218774
minkowski,1000,5min,0.33016921011799155
euclidean,1000,5min,0.33016372461540144
partial_correlation,1000,5min,0.23185551461736037
tangent,1000,5min,0.2855758648772487
covariance,1000,10min,0.4386484786898164
correlation,1000,10min,0.4392216049491077
