,Distance,Session,ROI,Sub_Discriminability,Sub_Identification
305,tangent,0.5,600,0.8172413793103448,0.16666666666666666
306,tangent,0.5,700,0.8114942528735632,0.2
307,tangent,0.5,800,0.7770114942528735,0.2
308,tangent,0.5,900,0.8149425287356321,0.2
309,tangent,0.5,1000,0.8275862068965517,0.2
310,tangent,1.0,100,0.8045977011494254,0.2
311,tangent,1.0,200,0.889655172413793,0.4666666666666667
312,tangent,1.0,300,0.9241379310344827,0.5666666666666667
313,tangent,1.0,400,0.9781609195402298,0.7333333333333333
314,tangent,1.0,500,0.9724137931034483,0.7666666666666667
315,tangent,1.0,600,0.9666666666666667,0.8666666666666667
316,tangent,1.0,700,0.964367816091954,0.8333333333333334
317,tangent,1.0,800,0.9862068965517241,0.9333333333333333
318,tangent,1.0,900,0.9965517241379309,0.9333333333333333
319,tangent,1.0,1000,0.9896551724137931,0.9333333333333333
320,tangent,2.5,100,0.9471264367816092,0.6
321,tangent,2.5,200,0.9908045977011495,0.9333333333333333
322,tangent,2.5,300,0.993103448275862,0.9666666666666667
323,tangent,2.5,400,1.0,1.0
324,tangent,2.5,500,0.9988505747126436,0.9666666666666667
325,tangent,2.5,600,0.9977011494252873,0.9666666666666667
326,tangent,2.5,700,0.9977011494252873,0.9666666666666667
327,tangent,2.5,800,0.9977011494252873,0.9666666666666667
328,tangent,2.5,900,1.0,1.0
329,tangent,2.5,1000,1.0,1.0
330,tangent,3.5,100,0.9977011494252873,0.9333333333333333
331,tangent,3.5,200,1.0,1.0
332,tangent,3.5,300,1.0,1.0
333,tangent,3.5,400,1.0,1.0
334,tangent,3.5,500,1.0,1.0
335,tangent,3.5,600,1.0,1.0
336,tangent,3.5,700,1.0,1.0
337,tangent,3.5,800,1.0,1.0
338,tangent,3.5,900,1.0,1.0
339,tangent,3.5,1000,1.0,1.0
340,tangent,4.5,100,1.0,1.0
341,tangent,4.5,200,1.0,1.0
342,tangent,4.5,300,1.0,1.0
343,tangent,4.5,400,1.0,1.0
344,tangent,4.5,500,1.0,1.0
345,tangent,4.5,600,1.0,1.0
346,tangent,4.5,700,1.0,1.0
347,tangent,4.5,800,1.0,1.0
348,tangent,4.5,900,1.0,1.0
349,tangent,4.5,1000,1.0,1.0
350,tangent,5.0,100,1.0,1.0
351,tangent,5.0,200,1.0,1.0
352,tangent,5.0,300,1.0,1.0
353,tangent,5.0,400,1.0,1.0
354,tangent,5.0,500,1.0,1.0
355,tangent,5.0,600,1.0,1.0
356,tangent,5.0,700,1.0,1.0
357,tangent,5.0,800,1.0,1.0
358,tangent,5.0,900,1.0,1.0
359,tangent,5.0,1000,1.0,1.0
360,tangent,10.0,100,1.0,1.0
361,tangent,10.0,200,1.0,1.0
362,tangent,10.0,300,1.0,1.0
363,tangent,10.0,400,1.0,1.0
364,tangent,10.0,500,1.0,1.0
365,tangent,10.0,600,1.0,1.0
366,tangent,10.0,700,1.0,1.0
367,tangent,10.0,800,1.0,1.0
368,tangent,10.0,900,1.0,1.0
369,tangent,10.0,1000,1.0,1.0
370,tangent,15.0,100,1.0,1.0
371,tangent,15.0,200,1.0,1.0
372,tangent,15.0,300,1.0,1.0
373,tangent,15.0,400,1.0,1.0
374,tangent,15.0,500,1.0,1.0
375,tangent,15.0,600,1.0,1.0
376,tangent,15.0,700,1.0,1.0
377,tangent,15.0,800,1.0,1.0
378,tangent,15.0,900,1.0,1.0
379,tangent,15.0,1000,1.0,1.0
380,tangent,20.0,100,1.0,1.0
381,tangent,20.0,200,1.0,1.0
382,tangent,20.0,300,1.0,1.0
383,tangent,20.0,400,1.0,1.0
384,tangent,20.0,500,1.0,1.0
385,tangent,20.0,600,1.0,1.0
386,tangent,20.0,700,1.0,1.0
387,tangent,20.0,800,1.0,1.0
388,tangent,20.0,900,1.0,1.0
389,tangent,20.0,1000,1.0,1.0
390,tangent,25.0,100,1.0,1.0
391,tangent,25.0,200,1.0,1.0
392,tangent,25.0,300,1.0,1.0
393,tangent,25.0,400,1.0,1.0
394,tangent,25.0,500,1.0,1.0
395,tangent,25.0,600,1.0,1.0
396,tangent,25.0,700,1.0,1.0
397,tangent,25.0,800,1.0,1.0
398,tangent,25.0,900,1.0,1.0
399,tangent,25.0,1000,1.0,1.0
400,tangent,30.0,100,1.0,1.0
401,tangent,30.0,200,1.0,1.0
402,tangent,30.0,300,1.0,1.0
403,tangent,30.0,400,1.0,1.0
404,tangent,30.0,500,1.0,1.0
405,tangent,30.0,600,1.0,1.0
406,tangent,30.0,700,1.0,1.0
407,tangent,30.0,800,1.0,1.0
408,tangent,30.0,900,1.0,1.0
409,tangent,30.0,1000,1.0,1.0
410,tangent,35.0,100,1.0,1.0
411,tangent,35.0,200,1.0,1.0
412,tangent,35.0,300,1.0,1.0
413,tangent,35.0,400,1.0,1.0
414,tangent,35.0,500,1.0,1.0
415,tangent,35.0,600,1.0,1.0
416,tangent,35.0,700,1.0,1.0
417,tangent,35.0,800,1.0,1.0
418,tangent,35.0,900,1.0,1.0
419,tangent,35.0,1000,1.0,1.0
420,tangent,40.0,100,1.0,1.0
421,tangent,40.0,200,1.0,1.0
422,tangent,40.0,300,1.0,1.0
423,tangent,40.0,400,1.0,1.0
424,tangent,40.0,500,1.0,1.0
425,tangent,40.0,600,1.0,1.0
426,tangent,40.0,700,1.0,1.0
427,tangent,40.0,800,1.0,1.0
428,tangent,40.0,900,1.0,1.0
429,tangent,40.0,1000,1.0,1.0
430,tangent,45.0,100,1.0,1.0
431,tangent,45.0,200,1.0,1.0
432,tangent,45.0,300,1.0,1.0
433,tangent,45.0,400,1.0,1.0
434,tangent,45.0,500,1.0,1.0
435,tangent,45.0,600,1.0,1.0
436,tangent,45.0,700,1.0,1.0
437,tangent,45.0,800,1.0,1.0
438,tangent,45.0,900,1.0,1.0
439,tangent,45.0,1000,1.0,1.0
440,tangent,50.0,100,1.0,1.0
441,tangent,50.0,200,1.0,1.0
442,tangent,50.0,300,1.0,1.0
443,tangent,50.0,400,1.0,1.0
444,tangent,50.0,500,1.0,1.0
445,tangent,50.0,600,1.0,1.0
446,tangent,50.0,700,1.0,1.0
447,tangent,50.0,800,1.0,1.0
448,tangent,50.0,900,1.0,1.0
