Distance,Roi,Data_length (min),Mean_ICC
tangent_scaled,700ROI,3.5,0.246849658
correlation,700ROI,4.5,0.271513236
partial_correlation,700ROI,4.5,0.188614162
tangent,700ROI,4.5,0.281177142
partial_correlation_scaled,700ROI,4.5,0.171448158
tangent_scaled,700ROI,4.5,0.210338099
correlation,700ROI,5,0.361195895
partial_correlation_scaled,700ROI,5,0.232717051
tangent_scaled,700ROI,5,0.290672165
correlation,700ROI,10,0.435679097
partial_correlation_scaled,700ROI,10,0.230827116
tangent_scaled,700ROI,10,0.311580876
correlation,700ROI,15,0.524810373
partial_correlation_scaled,700ROI,15,0.230063496
tangent_scaled,700ROI,15,0.329973553
correlation,700ROI,20,0.57583156
partial_correlation_scaled,700ROI,20,0.226311734
tangent_scaled,700ROI,20,0.33624516
correlation,700ROI,25,0.635958679
partial_correlation_scaled,700ROI,25,0.224049557
tangent_scaled,700ROI,25,0.345040448
correlation,700ROI,30,0.666508345
partial_correlation_scaled,700ROI,30,0.221479061
tangent_scaled,700ROI,30,0.349383344
correlation,700ROI,35,0.702202424
partial_correlation_scaled,700ROI,35,0.218284526
tangent_scaled,700ROI,35,0.352903524
correlation,700ROI,40,0.721280478
partial_correlation_scaled,700ROI,40,0.216982501
tangent_scaled,700ROI,40,0.357929959
correlation,700ROI,45,0.748069648
partial_correlation_scaled,700ROI,45,0.215930418
tangent_scaled,700ROI,45,0.36286052
correlation,700ROI,50,0.762528917
partial_correlation_scaled,700ROI,50,0.215917255
tangent_scaled,700ROI,50,0.366133603
correlation,800ROI,0.5,0.159416289
partial_correlation,800ROI,0.5,0.159582558
tangent,800ROI,0.5,0.183373047
partial_correlation_scaled,800ROI,0.5,0.132311233
tangent_scaled,800ROI,0.5,0.163739441
correlation,800ROI,1,0.183064014
partial_correlation,800ROI,1,0.171471116
tangent,800ROI,1,0.207733425
partial_correlation_scaled,800ROI,1,0.173667229
tangent_scaled,800ROI,1,0.159972975
correlation,800ROI,2.5,0.23291114
partial_correlation,800ROI,2.5,0.188366374
tangent,800ROI,2.5,0.253235806
partial_correlation_scaled,800ROI,2.5,0.171275125
tangent_scaled,800ROI,2.5,0.158357603
correlation,800ROI,3.5,0.255277805
partial_correlation,800ROI,3.5,0.191555389
tangent,800ROI,3.5,0.26940242
partial_correlation_scaled,800ROI,3.5,0.161202413
tangent_scaled,800ROI,3.5,0.212355551
correlation,800ROI,4.5,0.277727015
partial_correlation,800ROI,4.5,0.193535231
tangent,800ROI,4.5,0.280567824
partial_correlation_scaled,800ROI,4.5,0.117880414
tangent_scaled,800ROI,4.5,0.247447789
correlation,800ROI,5,0.361526851
partial_correlation_scaled,800ROI,5,0.231747316
tangent_scaled,800ROI,5,0.289197951
correlation,800ROI,10,0.436770222
partial_correlation_scaled,800ROI,10,0.231295103
tangent_scaled,800ROI,10,0.309461867
correlation,800ROI,15,0.525430853
partial_correlation_scaled,800ROI,15,0.228421397
tangent_scaled,800ROI,15,0.322982161
correlation,800ROI,20,0.576331478
partial_correlation_scaled,800ROI,20,0.223959714
tangent_scaled,800ROI,20,0.328461557
correlation,800ROI,25,0.636407391
partial_correlation_scaled,800ROI,25,0.223293602
tangent_scaled,800ROI,25,0.336859362
correlation,800ROI,30,0.666773925
partial_correlation_scaled,800ROI,30,0.220014229
tangent_scaled,800ROI,30,0.341535803
correlation,800ROI,35,0.702326101
partial_correlation_scaled,800ROI,35,0.216882763
tangent_scaled,800ROI,35,0.344434576
correlation,800ROI,40,0.721401896
partial_correlation_scaled,800ROI,40,0.214925652
tangent_scaled,800ROI,40,0.348257455
correlation,800ROI,45,0.748004152
partial_correlation_scaled,800ROI,45,0.212901365
tangent_scaled,800ROI,45,0.352375312
correlation,800ROI,50,0.762187176
partial_correlation_scaled,800ROI,50,0.211318804
tangent_scaled,800ROI,50,0.35540511
correlation,900ROI,0.5,0.160652053
partial_correlation,900ROI,0.5,0.160760928
tangent,900ROI,0.5,0.184044062
partial_correlation_scaled,900ROI,0.5,0.149563202
tangent_scaled,900ROI,0.5,0.17172098
correlation,900ROI,1,0.184274731
partial_correlation,900ROI,1,0.173091158
tangent,900ROI,1,0.208519664
partial_correlation_scaled,900ROI,1,0.18802238
tangent_scaled,900ROI,1,0.203888661
correlation,900ROI,2.5,0.235540754
partial_correlation,900ROI,2.5,0.188887644
tangent,900ROI,2.5,0.251863553
partial_correlation_scaled,900ROI,2.5,0.190525074
tangent_scaled,900ROI,2.5,0.170357648
correlation,900ROI,3.5,0.260014771
partial_correlation,900ROI,3.5,0.192619224
tangent,900ROI,3.5,0.267864826
partial_correlation_scaled,900ROI,3.5,0.1832388
tangent_scaled,900ROI,3.5,0.236444599
correlation,900ROI,4.5,0.282520754
partial_correlation,900ROI,4.5,0.194320082
tangent,900ROI,4.5,0.278709558
partial_correlation_scaled,900ROI,4.5,0.160958821
tangent_scaled,900ROI,4.5,0.270311585
correlation,900ROI,5,0.362887334
partial_correlation_scaled,900ROI,5,0.232967146
tangent_scaled,900ROI,5,0.286606897
correlation,900ROI,10,0.438464612
partial_correlation_scaled,900ROI,10,0.229793711
tangent_scaled,900ROI,10,0.306271175
correlation,900ROI,15,0.526836238
partial_correlation_scaled,900ROI,15,0.229033197
tangent_scaled,900ROI,15,0.321259713
correlation,900ROI,20,0.577501707
partial_correlation_scaled,900ROI,20,0.224488737
tangent_scaled,900ROI,20,0.325240399
correlation,900ROI,25,0.63692264
partial_correlation_scaled,900ROI,25,0.222183519
tangent_scaled,900ROI,25,0.333055794
correlation,900ROI,30,0.667147789
partial_correlation_scaled,900ROI,30,0.218250635
tangent_scaled,900ROI,30,0.336736529
correlation,900ROI,35,0.702646167
partial_correlation_scaled,900ROI,35,0.214652562
tangent_scaled,900ROI,35,0.339536524
correlation,900ROI,40,0.721936213
partial_correlation_scaled,900ROI,40,0.212206833
tangent_scaled,900ROI,40,0.342131941
correlation,900ROI,45,0.748430547
partial_correlation_scaled,900ROI,45,0.210317025
tangent_scaled,900ROI,45,0.344915395
correlation,900ROI,50,0.762775496
partial_correlation_scaled,900ROI,50,0.208342748
tangent_scaled,900ROI,50,0.347030801
correlation,1000ROI,0.5,0.160855288
partial_correlation,1000ROI,0.5,0.160239976
tangent,1000ROI,0.5,0.184268961
partial_correlation_scaled,1000ROI,0.5,0.134373604
tangent_scaled,1000ROI,0.5,0.159018232
correlation,1000ROI,1,0.183000576
partial_correlation,1000ROI,1,0.1712473
tangent,1000ROI,1,0.207975118
partial_correlation_scaled,1000ROI,1,0.141808039
tangent_scaled,1000ROI,1,0.154051763
correlation,1000ROI,2.5,0.232270972
partial_correlation,1000ROI,2.5,0.187297709
tangent,1000ROI,2.5,0.251269428
partial_correlation_scaled,1000ROI,2.5,0.165785217
tangent_scaled,1000ROI,2.5,0.16234783
correlation,1000ROI,3.5,0.256213546
partial_correlation,1000ROI,3.5,0.19036327
tangent,1000ROI,3.5,0.266996189
partial_correlation_scaled,1000ROI,3.5,0.167421265
tangent_scaled,1000ROI,3.5,0.185491782
correlation,1000ROI,4.5,0.278543522
partial_correlation,1000ROI,4.5,0.192083038
tangent_scaled,1000ROI,4.5,0.27773532
partial_correlation_scaled,1000ROI,4.5,0.140943099
correlation,1000ROI,5,0.363209279
partial_correlation_scaled,1000ROI,5,0.231864266
tangent_scaled,1000ROI,5,0.289353202
correlation,1000ROI,10,0.439304699
partial_correlation_scaled,1000ROI,10,0.231048339
tangent_scaled,1000ROI,10,0.304241737
correlation,1000ROI,15,0.528002501
partial_correlation_scaled,1000ROI,15,0.228744839
tangent_scaled,1000ROI,15,0.317993564
correlation,1000ROI,20,0.578329673
partial_correlation_scaled,1000ROI,20,0.223683193
tangent_scaled,1000ROI,20,0.322179522
correlation,1000ROI,25,0.638350107
partial_correlation_scaled,1000ROI,25,0.221571437
tangent_scaled,1000ROI,25,0.329179522
correlation,1000ROI,30,0.669011037
partial_correlation_scaled,1000ROI,30,0.218387891
tangent_scaled,1000ROI,30,0.331008273
correlation,1000ROI,35,0.704605935
partial_correlation_scaled,1000ROI,35,0.214841429
tangent_scaled,1000ROI,35,0.333401328
correlation,1000ROI,40,0.723310663
partial_correlation_scaled,1000ROI,40,0.212596951
tangent_scaled,1000ROI,40,0.335157494
correlation,1000ROI,45,0.749801114
partial_correlation_scaled,1000ROI,45,0.209805282
tangent_scaled,1000ROI,45,0.337329462
correlation,1000ROI,50,0.764068288
partial_correlation_scaled,1000ROI,50,0.207826034
tangent_scaled,1000ROI,50,0.340329462
