,Distance,Session,ROI,Sub_Discriminability,Sub_Identification
368,tangent,10.0,900,1.0,1.0
369,tangent,10.0,1000,1.0,1.0
370,tangent,15.0,100,1.0,1.0
371,tangent,15.0,200,1.0,1.0
372,tangent,15.0,300,1.0,1.0
373,tangent,15.0,400,1.0,1.0
374,tangent,15.0,500,1.0,1.0
375,tangent,15.0,600,1.0,1.0
376,tangent,15.0,700,1.0,1.0
377,tangent,15.0,800,1.0,1.0
378,tangent,15.0,900,1.0,1.0
379,tangent,15.0,1000,1.0,1.0
380,tangent,20.0,100,1.0,1.0
381,tangent,20.0,200,1.0,1.0
382,tangent,20.0,300,1.0,1.0
383,tangent,20.0,400,1.0,1.0
384,tangent,20.0,500,1.0,1.0
385,tangent,20.0,600,1.0,1.0
386,tangent,20.0,700,1.0,1.0
387,tangent,20.0,800,1.0,1.0
388,tangent,20.0,900,1.0,1.0
389,tangent,20.0,1000,1.0,1.0
390,tangent,25.0,100,1.0,1.0
391,tangent,25.0,200,1.0,1.0
392,tangent,25.0,300,1.0,1.0
393,tangent,25.0,400,1.0,1.0
394,tangent,25.0,500,1.0,1.0
395,tangent,25.0,600,1.0,1.0
396,tangent,25.0,700,1.0,1.0
397,tangent,25.0,800,1.0,1.0
398,tangent,25.0,900,1.0,1.0
399,tangent,25.0,1000,1.0,1.0
400,tangent,30.0,100,1.0,1.0
401,tangent,30.0,200,1.0,1.0
402,tangent,30.0,300,1.0,1.0
403,tangent,30.0,400,1.0,1.0
404,tangent,30.0,500,1.0,1.0
405,tangent,30.0,600,1.0,1.0
406,tangent,30.0,700,1.0,1.0
407,tangent,30.0,800,1.0,1.0
408,tangent,30.0,900,1.0,1.0
409,tangent,30.0,1000,1.0,1.0
410,tangent,35.0,100,1.0,1.0
411,tangent,35.0,200,1.0,1.0
412,tangent,35.0,300,1.0,1.0
413,tangent,35.0,400,1.0,1.0
414,tangent,35.0,500,1.0,1.0
415,tangent,35.0,600,1.0,1.0
416,tangent,35.0,700,1.0,1.0
417,tangent,35.0,800,1.0,1.0
418,tangent,35.0,900,1.0,1.0
419,tangent,35.0,1000,1.0,1.0
420,tangent,40.0,100,1.0,1.0
421,tangent,40.0,200,1.0,1.0
422,tangent,40.0,300,1.0,1.0
423,tangent,40.0,400,1.0,1.0
424,tangent,40.0,500,1.0,1.0
425,tangent,40.0,600,1.0,1.0
426,tangent,40.0,700,1.0,1.0
427,tangent,40.0,800,1.0,1.0
428,tangent,40.0,900,1.0,1.0
429,tangent,40.0,1000,1.0,1.0
430,tangent,45.0,100,1.0,1.0
431,tangent,45.0,200,1.0,1.0
432,tangent,45.0,300,1.0,1.0
433,tangent,45.0,400,1.0,1.0
434,tangent,45.0,500,1.0,1.0
435,tangent,45.0,600,1.0,1.0
436,tangent,45.0,700,1.0,1.0
437,tangent,45.0,800,1.0,1.0
438,tangent,45.0,900,1.0,1.0
439,tangent,45.0,1000,1.0,1.0
440,tangent,50.0,100,1.0,1.0
441,tangent,50.0,200,1.0,1.0
442,tangent,50.0,300,1.0,1.0
443,tangent,50.0,400,1.0,1.0
444,tangent,50.0,500,1.0,1.0
445,tangent,50.0,600,1.0,1.0
